sourceID,source,sourceOrg,targetID,target,targetOrg,value
400977,艾宁,校机关,413368,计建炳,化学工程学院,49
400977,艾宁,校机关,410357,高增梁,机械工程学院,1
400977,艾宁,校机关,435012,于凤文,化学工程学院,34
400977,艾宁,校机关,437259,俞云良,化学工程学院,1
400977,艾宁,校机关,423465,聂勇,化学工程学院,4
400977,艾宁,校机关,427551,孙楠,化学工程学院,1
400977,艾宁,校机关,413353,姬登祥,化学工程学院,37
400977,艾宁,校机关,435589,姚克俭,化学工程学院,1
400977,艾宁,校机关,419327,刘会君,化学工程学院,5
400977,艾宁,校机关,413660,计伟荣,校机关,6
400977,艾宁,校机关,404863,陈启华,校机关,1
400977,艾宁,校机关,413997,姜洪涛,化学工程学院,13
400977,艾宁,校机关,421257,陆向红,化学工程学院,3
400977,艾宁,校机关,434459,杨阿三,化学工程学院,2
400977,艾宁,校机关,432754,项斌,化学工程学院,6
400977,艾宁,校机关,407356,邓东顺,化学工程学院,13
400977,艾宁,校机关,429419,王广全,化学工程学院,1
400977,艾宁,校机关,419726,刘学军,化学工程学院,6
400977,艾宁,校机关,417948,李育敏,化学工程学院,2
400977,艾宁,校机关,432797,肖春,药学院,2
400977,艾宁,校机关,425516,阮慧敏,校级直属研究机构,5
400977,艾宁,校机关,417065,李肖华,化学工程学院,1
400977,艾宁,校机关,420957,卢美贞,化学工程学院,4
400977,艾宁,校机关,402242,曾淦宁,海洋学院,7
400977,艾宁,校机关,422287,毛筱媛,化学工程学院,1
400977,艾宁,校机关,419137,刘华彦,化学工程学院,4
400977,艾宁,校机关,441822,周震,校级直属研究机构,2
400977,艾宁,校机关,408116,董华青,校机关,3
400977,艾宁,校机关,435369,杨振平,化学工程学院,1
400977,艾宁,校机关,424113,潘再法,化学工程学院,1
401085,艾青林,机械工程学院,438569,张立彬,机械工程学院,11
401085,艾青林,机械工程学院,428004,谭大鹏,机械工程学院,4
401085,艾青林,机械工程学院,404201,陈教料,机械工程学院,7
401085,艾青林,机械工程学院,436240,应申舜,机械工程学院,1
401085,艾青林,机械工程学院,401642,蔡东海,机械工程学院,1
401085,艾青林,机械工程学院,438150,张洪涛,机械工程学院,2
401085,艾青林,机械工程学院,413117,黄伟锋,法学院,3
401124,白琮,计算机科学与技术学院、软件学院,440395,郑建炜,计算机科学与技术学院、软件学院,1
401124,白琮,计算机科学与技术学院、软件学院,430582,王万良,计算机科学与技术学院、软件学院,1
401126,白少先,机械工程学院,424388,彭旭东,机械工程学院,84
401126,白少先,机械工程学院,416082,李纪云,机械工程学院,35
401126,白少先,机械工程学院,422778,孟祥铠,机械工程学院,34
401126,白少先,机械工程学院,418258,厉淦,机械工程学院,1
401243,包士毅,机械工程学院,420443,娄忆清,机械工程学院,3
401243,包士毅,机械工程学院,418299,梁利华,机械工程学院,1
401243,包士毅,机械工程学院,410357,高增梁,机械工程学院,36
401243,包士毅,机械工程学院,402596,陈冰冰,机械工程学院,1
401243,包士毅,机械工程学院,408055,丁振宇,机械工程学院,5
401243,包士毅,机械工程学院,440480,郑三龙,机械工程学院,1
401243,包士毅,机械工程学院,431298,王效贵,机械工程学院,1
401243,包士毅,机械工程学院,414991,金伟娅,机械工程学院,3
401348,鲍官军,机械工程学院,428817,万跃华,图书馆,3
401348,鲍官军,机械工程学院,437431,袁巧玲,机械工程学院,2
401348,鲍官军,机械工程学院,443999,王成,机械工程学院,1
401348,鲍官军,机械工程学院,435132,杨庆华,机械工程学院,107
401348,鲍官军,机械工程学院,438569,张立彬,机械工程学院,59
401348,鲍官军,机械工程学院,425552,阮健,机械工程学院,8
401348,鲍官军,机械工程学院,431799,王志恒,机械工程学院,38
401348,鲍官军,机械工程学院,410157,高峰,机械工程学院,19
401348,鲍官军,机械工程学院,423700,潘柏松,机械工程学院,2
401348,鲍官军,机械工程学院,424876,钱少明,机电工程分院,14
401348,鲍官军,机械工程学院,408464,都明宇,机械工程学院,4
401348,鲍官军,机械工程学院,437576,占红武,机械工程学院,2
401348,鲍官军,机械工程学院,422425,孟彬,机械工程学院,4
401348,鲍官军,机械工程学院,447404,李伟,计算机科学与技术学院、软件学院,1
401348,鲍官军,机械工程学院,428004,谭大鹏,机械工程学院,1
401348,鲍官军,机械工程学院,404201,陈教料,机械工程学院,1
401348,鲍官军,机械工程学院,404930,陈强,信息工程学院,1
401428,鲍务英,商学院,441250,周根贵,经贸管理学院,1
401428,鲍务英,商学院,442149,朱艺华,计算机科学与技术学院、软件学院,1
401428,鲍务英,商学院,425856,沈国斐,中旅学院,3
401428,鲍务英,商学院,405855,陈勇,"[商学院,之江学院]",2
401428,鲍务英,商学院,429395,王斐波,商学院,1
401428,鲍务英,商学院,443345,陈勇,机械工程学院,1
401481,鲍卫兵,信息工程分院,405517,陈伟杰,信息工程分院,1
401481,鲍卫兵,信息工程分院,442037,朱向军,信息工程分院,3
401481,鲍卫兵,信息工程分院,429869,王洁,信息工程分院,2
401481,鲍卫兵,信息工程分院,409407,冯志林,信息工程分院,1
401481,鲍卫兵,信息工程分院,422222,毛剑飞,计算机科学与技术学院、软件学院,1
401481,鲍卫兵,信息工程分院,410981,郭淑琴,信息工程学院,7
401481,鲍卫兵,信息工程分院,441817,周云水,信息工程分院,2
401481,鲍卫兵,信息工程分院,430482,王荃,信息工程分院,2
401481,鲍卫兵,信息工程分院,419463,刘恺,信息工程学院,2
401481,鲍卫兵,信息工程分院,405904,杜丰,校区机关,1
401481,鲍卫兵,信息工程分院,440849,钟德刚,信息工程学院,1
401481,鲍卫兵,信息工程分院,423096,南余荣,信息工程学院,1
401481,鲍卫兵,信息工程分院,421077,鲁聪达,机械工程学院,1
401530,鲍雨梅,机电工程分院,418299,梁利华,机械工程学院,2
401530,鲍雨梅,机电工程分院,413231,黄跃进,机械工程学院,6
401530,鲍雨梅,机电工程分院,402305,柴国钟,机械工程学院,16
401530,鲍雨梅,机电工程分院,432235,吴化平,机械工程学院,7
401530,鲍雨梅,机电工程分院,411481,郝伟娜,机械工程学院,5
401553,毕娜,机械工程学院,426608,施祺方,教育科学与技术学院,1
401553,毕娜,机械工程学院,402707,陈呈频,资产经营有限公司,2
401553,毕娜,机械工程学院,415370,兰秀菊,机械工程学院,1
401585,毕慧,法学院,413068,黄瑞耀,法学院,4
401585,毕慧,法学院,436135,易继松,法学院,1
401589,边林洁,计算机科学与技术学院、软件学院,438703,张美玉,校机关,1
401589,边林洁,计算机科学与技术学院、软件学院,413901,简琤峰,计算机科学与技术学院、软件学院,1
401589,边林洁,计算机科学与技术学院、软件学院,412170,侯向辉,计算机科学与技术学院、软件学院,1
401589,边林洁,计算机科学与技术学院、软件学院,422727,孟婷婷,校机关,1
401602,卜庆军,商学院,427204,孙春晓,商学院,3
401602,卜庆军,商学院,410609,古赞歌,商学院,10
401602,卜庆军,商学院,423637,欧阳仲健,经贸管理学院,2
401621,蔡建湖,经贸管理学院,430039,王丽萍,计算机科学与技术学院、软件学院,7
401621,蔡建湖,经贸管理学院,441250,周根贵,经贸管理学院,21
401621,蔡建湖,经贸管理学院,411414,韩毅,经贸管理学院,12
401621,蔡建湖,经贸管理学院,418743,林华珍,经贸管理学院,5
401621,蔡建湖,经贸管理学院,435919,叶枫,经贸管理学院,2
401621,蔡建湖,经贸管理学院,413927,江波,教育科学与技术学院,1
401638,蔡彬彬,国际学院,412319,胡慧玲,机关直属单位,1
401642,蔡东海,机械工程学院,431494,王扬渝,机械工程学院,1
401642,蔡东海,机械工程学院,440016,赵章风,机械工程学院,2
401642,蔡东海,机械工程学院,436240,应申舜,机械工程学院,1
401642,蔡东海,机械工程学院,401085,艾青林,机械工程学院,1
401642,蔡东海,机械工程学院,402292,曾晰,机械工程学院,1
401642,蔡东海,机械工程学院,409102,方珠芳,机械工程学院,1
401642,蔡东海,机械工程学院,428004,谭大鹏,机械工程学院,1
401642,蔡东海,机械工程学院,410668,顾江萍,教育科学与技术学院,1
401642,蔡东海,机械工程学院,427701,孙伟明,校级直属研究机构,1
401663,蔡国军,体育军训部,415057,金彦,体育军训部,1
401671,蔡杭锋,校区机关,407785,丁建波,机电工程分院,7
401671,蔡杭锋,校区机关,437238,俞卫华,理学系,1
401671,蔡杭锋,校区机关,430927,王薇,外国语学院,1
401671,蔡杭锋,校区机关,423165,倪超美,设计艺术学院,1
401671,蔡杭锋,校区机关,412414,胡夏夏,机械工程学院,1
401671,蔡杭锋,校区机关,412422,胡利勇,环境学院,1
401671,蔡杭锋,校区机关,427272,孙科峰,法学院,1
401733,蔡金法,化学工程学院,421434,罗雄军,化学工程学院,3
401733,蔡金法,化学工程学院,407751,丁宏,校机关,1
401733,蔡金法,化学工程学院,412012,何雪华,校机关,1
401740,蔡军,机关直属单位,438255,张建标,校机关,1
401746,蔡鹏,化学工程学院,420704,卢建树,材料科学与工程学院,3
401746,蔡鹏,化学工程学院,441557,周明华,健行学院,1
401746,蔡鹏,化学工程学院,434412,颜继忠,药学院,1
401746,蔡鹏,化学工程学院,401830,蔡亦军,化学工程学院,1
401746,蔡鹏,化学工程学院,424886,钱欣,材料科学与工程学院,1
401746,蔡鹏,化学工程学院,441795,周瑛,化学工程学院,3
401746,蔡鹏,化学工程学院,407596,丁成荣,化学工程学院,3
401777,蔡萍根,理学院,434218,鄢波,理学院,8
401777,蔡萍根,理学院,404780,陈乃波,理学院,10
401777,蔡萍根,理学院,433140,徐丹阳,理学院,1
401777,蔡萍根,理学院,431879,魏高尧,理学院,9
401777,蔡萍根,理学院,420002,刘玉玲,理学院,3
401777,蔡萍根,理学院,433770,徐志君,理学院,3
401777,蔡萍根,理学院,426380,施建青,理学院,2
401777,蔡萍根,理学院,418000,李珍,理学院,1
401806,蔡铁峰,信息工程分院,405552,陈祥华,机电工程分院,2
401806,蔡铁峰,信息工程分院,432996,徐欧官,信息工程分院,1
401806,蔡铁峰,信息工程分院,419483,刘勤贤,信息工程分院,1
401806,蔡铁峰,信息工程分院,421330,罗民超,校机关,1
401806,蔡铁峰,信息工程分院,421484,骆崇,校区机关,1
401806,蔡铁峰,信息工程分院,423794,潘明,成人教育学院,1
401822,蔡伟,材料科学与工程学院,440408,郑精武,材料科学与工程学院,17
401822,蔡伟,材料科学与工程学院,424975,乔梁,材料科学与工程学院,16
401822,蔡伟,材料科学与工程学院,441444,周杰,外国语学院,1
401822,蔡伟,材料科学与工程学院,437764,张诚,化学工程学院,1
401830,蔡亦军,化学工程学院,441543,周猛飞,化学工程学院,21
401830,蔡亦军,化学工程学院,427720,孙小方,化学工程学院,27
401830,蔡亦军,化学工程学院,432703,夏陆岳,化学工程学院,19
401830,蔡亦军,化学工程学院,432797,肖春,药学院,1
401830,蔡亦军,化学工程学院,401746,蔡鹏,化学工程学院,1
401875,蔡志彬,化学工程学院,432754,项斌,化学工程学院,7
401875,蔡志彬,化学工程学院,417922,李郁锦,化学工程学院,1
401875,蔡志彬,化学工程学院,411157,韩亮,化学工程学院,1
401875,蔡志彬,化学工程学院,417078,李小年,校机关,5
401875,蔡志彬,化学工程学院,413733,贾建洪,化学工程学院,2
401930,蔡智澄,图书馆,406632,池晓波,图书馆,1
401959,曹华珍,材料科学与工程学院,422293,毛信表,化学工程学院,3
401959,曹华珍,材料科学与工程学院,440102,郑国渠,材料科学与工程学院,83
401959,曹华珍,材料科学与工程学院,440159,郑华均,校机关,1
401959,曹华珍,材料科学与工程学院,435402,姚建华,机械工程学院,1
401959,曹华珍,材料科学与工程学院,421488,骆芳,机电工程分院,1
401959,曹华珍,材料科学与工程学院,458283,胡军,"[创业学院,材料科学与工程学院,团委]",1
401959,曹华珍,材料科学与工程学院,462805,李波,校级直属研究机构,1
