id,papers,citation,partnerCount,keywordCount,nearlyTwoYearArticleCount,citationSort
400977,103,587,30,332,0,"[42,29,28,25,25,24,21,19,17,17,15,15,15,14,12,11,11,11,11,10,9,9,9,8,8,7,7,7,7,7,7,6,6,6,6,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
401085,29,141,7,114,0,"[59,22,16,13,6,5,3,3,2,2,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0]"
401124,1,1,2,5,0,[1]
401126,126,987,4,373,0,"[61,43,42,40,30,28,27,25,23,23,22,21,21,21,21,18,18,17,16,16,15,15,14,14,13,13,12,11,11,11,11,11,10,10,10,10,10,10,9,8,8,7,7,7,7,7,6,6,6,6,6,6,6,6,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
401243,70,199,8,184,2,"[62,10,10,10,9,9,7,7,7,6,5,4,4,4,4,3,3,3,3,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
401322,25,41,0,85,0,"[6,6,6,5,5,3,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0]"
401348,124,1018,17,432,8,"[62,39,34,34,33,32,30,28,25,24,24,23,23,21,21,21,20,20,20,19,19,18,18,17,17,16,14,14,14,13,12,12,12,11,11,11,10,10,9,9,9,9,8,8,7,7,7,7,7,7,6,6,6,6,6,5,5,5,5,5,4,4,4,4,4,4,3,3,3,3,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
401428,21,100,6,110,0,"[26,14,8,7,7,7,7,6,5,4,2,2,2,2,1,0,0,0,0,0,0]"
401481,41,250,13,162,0,"[41,31,23,18,12,11,11,10,9,9,8,7,7,7,6,4,4,3,3,3,3,3,3,3,2,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0]"
401530,38,134,5,173,0,"[27,18,15,11,10,9,8,7,4,3,3,3,3,2,2,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
401553,6,89,3,23,0,"[67,13,6,3,0,0]"
401585,15,67,2,70,0,"[27,10,7,6,4,3,3,2,1,1,1,1,1,0,0]"
401589,5,14,4,14,0,"[5,4,3,2,0]"
401602,25,322,3,91,0,"[134,73,28,12,12,10,8,7,6,6,5,4,3,3,2,2,2,1,1,1,1,1,0,0,0]"
401621,64,455,6,191,1,"[65,35,23,21,20,20,18,18,17,16,15,15,15,13,13,11,10,10,10,9,8,7,6,5,5,5,4,4,4,3,3,3,3,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
401638,3,0,1,19,0,"[0,0,0]"
401642,17,53,9,75,0,"[17,12,11,5,3,3,1,1,0,0,0,0,0,0,0,0,0]"
401659,3,36,0,14,0,"[36,0,0]"
401663,7,44,1,32,0,"[10,9,8,8,4,4,1]"
401671,10,50,7,26,0,"[16,16,8,4,4,2,0,0,0,0]"
401733,6,6,3,21,0,"[3,1,1,1,0,0]"
401740,5,14,1,18,0,"[4,4,4,2,0]"
401746,14,98,7,58,0,"[57,20,9,5,3,2,2,0,0,0,0,0,0,0]"
401777,38,306,8,203,4,"[49,48,37,29,19,18,16,12,11,10,8,7,7,6,5,4,3,3,3,3,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0]"
401801,4,25,0,11,0,"[12,6,6,1]"
401806,10,39,6,42,0,"[10,9,7,5,3,3,2,0,0,0]"
401822,18,18,4,102,3,"[9,4,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0]"
401830,48,253,5,171,1,"[37,23,22,22,18,15,13,12,9,8,8,7,6,6,6,6,6,5,3,2,2,2,2,2,2,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
401875,56,216,5,155,1,"[26,25,18,15,14,13,12,9,9,8,6,5,5,5,5,5,4,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
401930,8,71,1,40,0,"[16,11,11,10,10,7,5,1]"
401959,91,504,11,331,3,"[45,35,34,30,28,20,19,19,19,18,16,15,15,13,13,12,12,10,10,9,9,7,7,7,6,6,6,6,5,5,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
402009,58,602,6,190,3,"[65,64,46,41,34,31,27,26,24,24,22,21,14,13,12,11,11,10,10,9,8,8,8,7,7,7,6,4,4,3,3,3,3,2,2,2,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0]"
402053,11,3,6,41,0,"[2,1,0,0,0,0,0,0,0,0,0]"
402107,3,46,1,10,0,"[44,2,0]"
402111,6,36,1,21,1,"[33,2,1,0,0,0]"
402118,13,44,3,50,0,"[24,8,6,3,1,1,1,0,0,0,0,0,0]"
402128,40,473,6,155,2,"[126,85,38,35,33,29,23,16,15,10,10,9,6,5,5,5,5,4,4,3,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
